nd.,Qual é a sua faixa etária?  ,Qual é a sua ocupação principal?  ,horas_trabalho_texto,Quanto tempo você dedica a responsabilidades familiares (como cuidar de crianças ou parentes) por semana?  ,horas_lazer_texto,Qual é a principal razão pela qual você não tem tempo suficiente para lazer e hobbies?  ,Você sente que consegue equilibrar sua vida profissional/pessoal com atividades de lazer e hobbies?  ,Com que frequência você se sente estressado(a) pela falta de tempo para lazer e hobbies?  ,Quais tipos de atividades de lazer e hobbies você gostaria de ter mais tempo para realizar?  ,O que você acha que poderia ajudar a aumentar seu tempo disponível para lazer e hobbies?  ,horas_trabalho_num,horas_lazer_num
0,25-34 anos,"Empregado(a) em tempo integral, Trabalhador(a) autônomo(a)",40-50 horas,5-10 horas,5-10 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Não, a maioria das vezes não consigo",Frequentemente,"Exercícios físicos, Leitura, Atividades ao ar livre, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Melhor planejamento das atividades",45.0,7.5
0,18-24 anos,"Estudante, Empregado(a) em meio período",Mais de 50 horas,Mais de 30 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Sim, totalmente",Nunca,"Exercícios físicos, Leitura, Artesanato ou arte, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,55.0,20.0
0,55 anos ou mais,Outros...,Mais de 50 horas,Menos de 5 horas,Mais de 15 horas,Outros...,"Sim, totalmente",Nunca,Outros...,Outros...,55.0,20.0
0,Menos de 18 anos,Estudante,30-40 horas,Menos de 5 horas,5-10 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, totalmente",Às vezes,"Leitura, Artesanato ou arte",Melhor gestão do tempo,35.0,7.5
0,25-34 anos,Empregado(a) em tempo integral,Mais de 50 horas,5-10 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Atividades ao ar livre, Socialização com amigos e família",Melhor gestão do tempo,55.0,2.5
0,Menos de 18 anos,Estudante,Menos de 20 horas,5-10 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,Leitura,Melhor gestão do tempo,10.0,7.5
0,Menos de 18 anos,Estudante,30-40 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,"Artesanato ou arte, Jogos ou esportes","Melhor gestão do tempo, Melhor planejamento das atividades",35.0,20.0
0,25-34 anos,"Estudante, Empregado(a) em tempo integral",Mais de 50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, nunca consigo",Frequentemente,"Exercícios físicos, Jogos ou esportes",Redução de horas de trabalho/estudo,55.0,2.5
0,25-34 anos,Empregado(a) em tempo integral,40-50 horas,Menos de 5 horas,5-10 horas,Tarefas domésticas,"Não, a maioria das vezes não consigo",Frequentemente,"Leitura, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,45.0,7.5
0,35-44 anos,Empregado(a) em tempo integral,Mais de 50 horas,5-10 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Artesanato ou arte",Melhor planejamento das atividades,55.0,2.5
0,18-24 anos,Empregado(a) em tempo integral,Mais de 50 horas,Menos de 5 horas,10-15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Raramente,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,55.0,12.5
0,35-44 anos,Trabalhador(a) autônomo(a),Mais de 50 horas,Mais de 30 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,Atividades ao ar livre,"Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Melhor planejamento das atividades",55.0,20.0
0,18-24 anos,Empregado(a) em tempo integral,40-50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Às vezes,Socialização com amigos e família,Redução de horas de trabalho/estudo,45.0,2.5
0,25-34 anos,"Estudante, Empregado(a) em tempo integral",Menos de 20 horas,10-20 horas,5-10 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Leitura","Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas, Melhor planejamento das atividades",10.0,7.5
0,18-24 anos,Estudante,30-40 horas,5-10 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Às vezes,Leitura,Melhor gestão do tempo,35.0,7.5
0,55 anos ou mais,Outros...,Mais de 50 horas,Menos de 5 horas,Nenhuma,Outros...,"Sim, totalmente",Nunca,Outros...,Outros...,55.0,
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",30-40 horas,Menos de 5 horas,10-15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",35.0,12.5
0,Menos de 18 anos,Outros...,Mais de 50 horas,Mais de 30 horas,Mais de 15 horas,Outros...,"Sim, mas com dificuldade",Sempre,Outros...,Outros...,55.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,5-10 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, religião","Não, a maioria das vezes não consigo",Às vezes,"Artesanato ou arte, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",45.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,5-10 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família",Redução de horas de trabalho/estudo,45.0,2.5
0,Menos de 18 anos,"Estudante, Empregado(a) em meio período",40-50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Sempre,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor planejamento das atividades",45.0,2.5
0,18-24 anos,Estudante,Menos de 20 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Sempre,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Apoio adicional nas responsabilidades familiares, Melhor planejamento das atividades",10.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,Menos de 5 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Banda","Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",45.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em meio período",20-30 horas,Menos de 5 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, totalmente",Raramente,"Exercícios físicos, Leitura, Artesanato ou arte, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",25.0,20.0
0,Menos de 18 anos,Estudante,20-30 horas,5-10 horas,Mais de 15 horas,Tarefas domésticas,"Sim, totalmente",Nunca,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,25.0,20.0
0,25-34 anos,"Estudante, Empregado(a) em meio período, Desempregado(a)",20-30 horas,10-20 horas,5-10 horas,"Tarefas domésticas, Problemas de saúde","Não, a maioria das vezes não consigo",Frequentemente,Exercícios físicos,"Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares",25.0,7.5
0,Menos de 18 anos,"Estudante, Trabalhador(a) autônomo(a), Desempregado(a)",20-30 horas,20-30 horas,Nenhuma,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, mas com dificuldade",Raramente,"Artesanato ou arte, Atividades ao ar livre, Socialização com amigos e família","Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas, Melhor planejamento das atividades",25.0,
0,18-24 anos,"Empregado(a) em meio período, Trabalhador(a) autônomo(a)",20-30 horas,5-10 horas,5-10 horas,"Tarefas domésticas, Problemas de saúde","Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Leitura, Artesanato ou arte","Redução de horas de trabalho/estudo, Delegação de tarefas domésticas",25.0,7.5
0,18-24 anos,Empregado(a) em tempo integral,40-50 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Nunca,"Exercícios físicos, Leitura, Artesanato ou arte, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas, Melhor planejamento das atividades",45.0,20.0
0,18-24 anos,"Empregado(a) em tempo integral, Trabalhador(a) autônomo(a)",Mais de 50 horas,Menos de 5 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, totalmente",Nunca,"Exercícios físicos, Leitura, Atividades ao ar livre, Jogos ou esportes","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares",55.0,20.0
0,25-34 anos,"Estudante, Desempregado(a)",Menos de 20 horas,Menos de 5 horas,Mais de 15 horas,"Responsabilidades familiares, Tarefas domésticas","Sim, totalmente",Nunca,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas",10.0,20.0
0,55 anos ou mais,Aposentado(a),Menos de 20 horas,20-30 horas,Mais de 15 horas,"Responsabilidades familiares, Tarefas domésticas","Sim, totalmente",Nunca,"Leitura, Artesanato ou arte, Atividades ao ar livre, Socialização com amigos e família",Melhor gestão do tempo,10.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em meio período",30-40 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Raramente,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,35.0,20.0
0,35-44 anos,"Empregado(a) em tempo integral, Trabalhador(a) autônomo(a)",Mais de 50 horas,Mais de 30 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Não, a maioria das vezes não consigo",Frequentemente,"Leitura, Jogos ou esportes, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",55.0,2.5
0,Menos de 18 anos,Estudante,Menos de 20 horas,Menos de 5 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Sim, totalmente",Nunca,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas, Melhor planejamento das atividades",10.0,20.0
0,25-34 anos,"Empregado(a) em tempo integral, Trabalhador(a) autônomo(a)",30-40 horas,5-10 horas,10-15 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, mas com dificuldade",Raramente,"Exercícios físicos, Leitura, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",35.0,12.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",30-40 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",35.0,20.0
0,18-24 anos,Estudante,20-30 horas,5-10 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, totalmente",Raramente,"Exercícios físicos, Leitura, Artesanato ou arte, Atividades ao ar livre, Socialização com amigos e família","Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Melhor planejamento das atividades",25.0,20.0
0,Menos de 18 anos,Estudante,40-50 horas,10-20 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, totalmente",Raramente,"Leitura, Artesanato ou arte, Atividades ao ar livre, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",45.0,20.0
0,35-44 anos,Empregado(a) em tempo integral,Mais de 50 horas,Mais de 30 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas, Melhor planejamento das atividades",55.0,2.5
0,18-24 anos,Estudante,20-30 horas,Menos de 5 horas,5-10 horas,Outros...,"Sim, totalmente",Raramente,Socialização com amigos e família,Melhor planejamento das atividades,25.0,7.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,5-10 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Às vezes,"Jogos ou esportes, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",45.0,7.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",30-40 horas,10-20 horas,5-10 horas,Tarefas domésticas,"Não, a maioria das vezes não consigo",Frequentemente,Atividades ao ar livre,Melhor gestão do tempo,35.0,7.5
0,18-24 anos,Empregado(a) em tempo integral,Mais de 50 horas,5-10 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, nunca consigo",Frequentemente,Exercícios físicos,Redução de horas de trabalho/estudo,55.0,2.5
0,18-24 anos,Estudante,20-30 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Às vezes,"Leitura, Socialização com amigos e família",Melhor gestão do tempo,25.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",Mais de 50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, nunca consigo",Sempre,"Exercícios físicos, Jogos ou esportes",Redução de horas de trabalho/estudo,55.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, nunca consigo",Frequentemente,"Leitura, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo",45.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",30-40 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Frequentemente,"Exercícios físicos, Leitura, Artesanato ou arte, Jogos ou esportes",Redução de horas de trabalho/estudo,35.0,2.5
0,18-24 anos,"Estudante, Empregado(a) em meio período",30-40 horas,Menos de 5 horas,5-10 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Artesanato ou arte, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",35.0,7.5
0,35-44 anos,Outros...,30-40 horas,Mais de 30 horas,Mais de 15 horas,Responsabilidades familiares,"Sim, totalmente",Raramente,Jogos ou esportes,Melhor planejamento das atividades,35.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",20-30 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Sempre,Jogos ou esportes,Redução de horas de trabalho/estudo,25.0,2.5
0,18-24 anos,Empregado(a) em tempo integral,40-50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Atividades ao ar livre",Redução de horas de trabalho/estudo,45.0,2.5
0,18-24 anos,Desempregado(a),Menos de 20 horas,5-10 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Sempre,Jogos ou esportes,Redução de horas de trabalho/estudo,10.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",30-40 horas,Menos de 5 horas,5-10 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Sempre,"Leitura, Artesanato ou arte","Melhor gestão do tempo, Melhor planejamento das atividades",35.0,7.5
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",20-30 horas,Menos de 5 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Não, a maioria das vezes não consigo",Raramente,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes","Melhor gestão do tempo, Melhor planejamento das atividades",25.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",Mais de 50 horas,Menos de 5 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",55.0,2.5
0,Menos de 18 anos,"Estudante, Empregado(a) em meio período",40-50 horas,Menos de 5 horas,10-15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Raramente,"Exercícios físicos, Jogos ou esportes",Melhor gestão do tempo,45.0,12.5
0,18-24 anos,Empregado(a) em tempo integral,30-40 horas,Menos de 5 horas,Nenhuma,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Atividades ao ar livre",Redução de horas de trabalho/estudo,35.0,
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,Menos de 5 horas,Menos de 5 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Não, a maioria das vezes não consigo",Frequentemente,"Exercícios físicos, Leitura, Jogos ou esportes","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Delegação de tarefas domésticas",45.0,2.5
0,Menos de 18 anos,"Estudante, Empregado(a) em meio período",20-30 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Leitura, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família","Melhor gestão do tempo, Melhor planejamento das atividades",25.0,20.0
0,Menos de 18 anos,Estudante,Menos de 20 horas,Menos de 5 horas,5-10 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, totalmente",Nunca,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família",Redução de horas de trabalho/estudo,10.0,7.5
0,Menos de 18 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,5-10 horas,10-15 horas,Outros...,"Sim, totalmente",Raramente,"Exercícios físicos, Jogos ou esportes",Redução de horas de trabalho/estudo,45.0,12.5
0,25-34 anos,Empregado(a) em tempo integral,Mais de 50 horas,Menos de 5 horas,5-10 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Às vezes,"Leitura, Atividades ao ar livre, Jogos ou esportes","Redução de horas de trabalho/estudo, Melhor gestão do tempo",55.0,7.5
0,25-34 anos,Empregado(a) em tempo integral,40-50 horas,10-20 horas,5-10 horas,Responsabilidades familiares,"Sim, totalmente",Raramente,Jogos ou esportes,Melhor gestão do tempo,45.0,7.5
0,25-34 anos,"Estudante, Empregado(a) em tempo integral",Mais de 50 horas,5-10 horas,5-10 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Leitura",Melhor planejamento das atividades,55.0,7.5
0,18-24 anos,Estudante,20-30 horas,5-10 horas,5-10 horas,Responsabilidades familiares,"Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Artesanato ou arte, Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,25.0,7.5
0,18-24 anos,Empregado(a) em tempo integral,40-50 horas,5-10 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Às vezes,Jogos ou esportes,Melhor planejamento das atividades,45.0,2.5
0,25-34 anos,Empregado(a) em tempo integral,Menos de 20 horas,20-30 horas,5-10 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Não, a maioria das vezes não consigo",Às vezes,"Exercícios físicos, Leitura, Jogos ou esportes","Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares",10.0,7.5
0,35-44 anos,Empregado(a) em tempo integral,40-50 horas,20-30 horas,Menos de 5 horas,Excesso de trabalho ou estudos,"Não, a maioria das vezes não consigo",Raramente,Jogos ou esportes,Redução de horas de trabalho/estudo,45.0,2.5
0,35-44 anos,Empregado(a) em tempo integral,40-50 horas,Mais de 30 horas,5-10 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares, Tarefas domésticas","Sim, mas com dificuldade",Às vezes,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes","Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Delegação de tarefas domésticas",45.0,7.5
0,Menos de 18 anos,Estudante,Menos de 20 horas,Menos de 5 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Não, nunca consigo",Às vezes,Jogos ou esportes,Melhor planejamento das atividades,10.0,20.0
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",20-30 horas,5-10 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,"Jogos ou esportes, Socialização com amigos e família",Redução de horas de trabalho/estudo,25.0,7.5
